Day.Month	Hour	1	2	3	4	5	6	7	8	9	10	11
07.03	00	0.308	0.351	0.291	0.372	0.344	0.33	0.341	0.325	0.311	0.319	0.358
07.03	01	0.278	0.326	0.254	0.344	0.322	0.302	0.312	0.298	0.275	0.293	0.335
07.03	02	0.241	0.3	0.232	0.316	0.299	0.272	0.28	0.296	0.247	0.278	0.317
07.03	03	0.256	0.308	0.236	0.325	0.321	0.282	0.29	0.304	0.256	0.286	0.326
07.03	04	0.294	0.35	0.28	0.359	0.337	0.327	0.334	0.341	0.299	0.323	0.368
07.03	05	0.412	0.452	0.388	0.457	0.451	0.431	0.436	0.449	0.411	0.426	0.465
07.03	06	0.607	0.631	0.571	0.627	0.612	0.613	0.615	0.606	0.595	0.599	0.632
07.03	07	0.903	0.904	0.884	0.898	0.892	0.914	0.897	0.891	0.899	0.879	0.896
07.03	08	1.201	1.196	1.203	1.174	1.189	1.202	1.196	1.187	1.194	1.202	1.18
07.03	09	1.419	1.401	1.433	1.379	1.418	1.433	1.412	1.392	1.433	1.457	1.395
07.03	10	1.59	1.552	1.61	1.547	1.581	1.599	1.557	1.569	1.616	1.616	1.563
07.03	11	1.677	1.634	1.691	1.617	1.646	1.663	1.63	1.654	1.691	1.674	1.624
07.03	12	1.6	1.543	1.6	1.537	1.568	1.55	1.54	1.573	1.592	1.57	1.534
07.03	13	1.365	1.309	1.359	1.321	1.342	1.324	1.305	1.327	1.365	1.332	1.313
07.03	14	1.241	1.204	1.245	1.212	1.208	1.237	1.207	1.224	1.266	1.232	1.213
07.03	15	1.373	1.33	1.382	1.345	1.334	1.357	1.348	1.371	1.397	1.372	1.337
07.03	16	1.427	1.407	1.447	1.409	1.399	1.432	1.421	1.461	1.46	1.433	1.413
07.03	17	1.484	1.468	1.507	1.463	1.467	1.462	1.484	1.49	1.498	1.471	1.467
07.03	18	1.546	1.501	1.565	1.509	1.514	1.521	1.54	1.529	1.543	1.518	1.499
07.03	19	1.487	1.445	1.495	1.447	1.449	1.471	1.477	1.451	1.462	1.449	1.436
07.03	20	1.258	1.245	1.269	1.227	1.229	1.25	1.264	1.223	1.221	1.225	1.227
07.03	21	0.891	0.92	0.909	0.898	0.893	0.892	0.906	0.882	0.864	0.887	0.895
07.03	22	0.639	0.678	0.646	0.666	0.656	0.632	0.67	0.639	0.617	0.646	0.664
07.03	23	0.501	0.545	0.505	0.549	0.529	0.504	0.539	0.521	0.489	0.513	0.542
08.03	00	0.434	0.487	0.441	0.504	0.474	0.463	0.486	0.474	0.449	0.458	0.493
08.03	01	0.377	0.434	0.377	0.451	0.425	0.401	0.43	0.419	0.382	0.409	0.44
08.03	02	0.339	0.396	0.332	0.41	0.377	0.36	0.382	0.374	0.347	0.372	0.399
08.03	03	0.33	0.388	0.313	0.403	0.362	0.349	0.369	0.353	0.331	0.356	0.387
08.03	04	0.374	0.405	0.329	0.413	0.38	0.377	0.383	0.371	0.359	0.37	0.402
08.03	05	0.408	0.459	0.389	0.471	0.442	0.43	0.442	0.449	0.418	0.428	0.458
08.03	06	0.489	0.531	0.474	0.551	0.522	0.52	0.516	0.542	0.506	0.52	0.538
08.03	07	0.601	0.64	0.596	0.651	0.622	0.639	0.627	0.651	0.624	0.636	0.65
08.03	08	0.843	0.867	0.862	0.863	0.872	0.875	0.885	0.901	0.855	0.897	0.88
08.03	09	1.095	1.11	1.113	1.092	1.118	1.112	1.122	1.131	1.118	1.149	1.116
08.03	10	1.43	1.373	1.385	1.353	1.363	1.388	1.381	1.407	1.405	1.397	1.377
08.03	11	1.555	1.537	1.558	1.506	1.528	1.534	1.53	1.573	1.569	1.551	1.539
08.03	12	1.561	1.499	1.53	1.47	1.507	1.512	1.492	1.523	1.543	1.508	1.495
08.03	13	1.282	1.257	1.277	1.259	1.275	1.266	1.248	1.285	1.29	1.257	1.266
08.03	14	1.224	1.16	1.188	1.159	1.171	1.175	1.164	1.182	1.194	1.168	1.164
08.03	15	1.378	1.347	1.402	1.349	1.378	1.376	1.349	1.364	1.396	1.404	1.356
08.03	16	1.599	1.499	1.561	1.487	1.513	1.551	1.506	1.498	1.563	1.556	1.497
08.03	17	1.714	1.687	1.751	1.666	1.7	1.71	1.7	1.673	1.716	1.72	1.681
08.03	18	1.885	1.795	1.875	1.782	1.802	1.827	1.814	1.792	1.839	1.8	1.776
08.03	19	1.749	1.716	1.809	1.706	1.723	1.76	1.746	1.719	1.768	1.708	1.693
08.03	20	1.376	1.363	1.433	1.361	1.389	1.389	1.389	1.345	1.375	1.354	1.354
08.03	21	0.964	0.983	1.01	0.984	0.996	0.963	0.989	0.954	0.954	0.966	0.976
08.03	22	0.623	0.652	0.633	0.671	0.651	0.629	0.643	0.632	0.623	0.632	0.645
08.03	23	0.37	0.416	0.363	0.44	0.412	0.394	0.411	0.389	0.375	0.383	0.418
